SessionID,Timestamp,averageSpO2,averageHR,averageRR,averagePVi,averagePi
89,1668889800,97.0,75.0,9.0,92.0,7.2
90,1668905643,94.0,92.0,15.0,16.0,7.4
91,1668905998,93.0,89.0,17.5,13.0,18.0
92,1668906320,93.0,85.5,21.0,11.0,8.8
93,1668906843,91.0,87.0,18.0,21.0,2.6
94,1668907219,90.0,83.0,14.0,20.0,11.0
95,1668907757,88.0,84.0,,41.0,3.6
96,1668908370,88.0,85.0,21.0,32.0,3.9
97,1668908871,89.0,103.5,32.0,18.0,8.3
98,1668909936,89.0,95.0,15.0,18.0,1.1
99,1668911075,84.0,102.0,21.0,16.0,2.2
100,1668912252,77.0,91.0,18.0,30.0,4.1
101,1668914522,61.0,113.0,17.0,28.0,1.0
102,1668915451,70.0,115.0,,40.0,1.3
103,1668916523,68.0,106.0,26.0,14.0,7.9
104,1668917042,78.0,101.0,22.0,7.0,11.0
105,1668917482,83.0,97.0,21.0,27.0,8.1
106,1668918793,88.0,96.0,14.0,39.0,9.0
107,1668924038,81.0,98.0,19.0,24.0,2.8
108,1668925136,92.0,94.0,19.0,11.0,6.8
109,1668927271,95.0,88.0,17.0,44.0,2.9
110,1668928875,96.0,89.0,21.5,20.0,13.0
